date,warehouse,sku_id,category,system_forecast,override_flag,final_forecast,actual_demand,unit_cost,lead_time_days,safety_stock_units
2024-01-01,North-DC,APP-103,Apparel,432,False,432,401,1650.59,7,80
2024-02-01,North-DC,APP-103,Apparel,511,False,511,460,1650.59,7,66
2024-03-01,North-DC,APP-103,Apparel,474,False,474,486,1650.59,7,80
2024-04-01,North-DC,APP-103,Apparel,455,False,455,498,1650.59,7,67
2024-05-01,North-DC,APP-103,Apparel,519,False,519,423,1650.59,7,78
2024-06-01,North-DC,APP-103,Apparel,387,False,387,386,1650.59,7,72
2024-07-01,North-DC,APP-103,Apparel,385,False,385,435,1650.59,7,61
2024-08-01,North-DC,APP-103,Apparel,387,False,387,429,1650.59,7,65
2024-09-01,North-DC,APP-103,Apparel,371,False,371,436,1650.59,7,60
2024-10-01,North-DC,APP-103,Apparel,395,True,445,370,1650.59,7,44
2024-11-01,North-DC,APP-103,Apparel,394,False,394,372,1650.59,7,40
2024-12-01,North-DC,APP-103,Apparel,409,False,409,485,1650.59,7,63
2023-01-01,North-DC,APP-104,Apparel,385,False,385,409,1377.25,14,53
2023-02-01,North-DC,APP-104,Apparel,390,True,458,384,1377.25,14,58
2023-03-01,North-DC,APP-104,Apparel,373,False,373,371,1377.25,14,48
2023-04-01,North-DC,APP-104,Apparel,377,False,377,449,1377.25,14,76
2023-05-01,North-DC,APP-104,Apparel,380,True,418,328,1377.25,14,75
2023-06-01,North-DC,APP-104,Apparel,318,False,318,313,1377.25,14,45
2023-07-01,North-DC,APP-104,Apparel,280,True,303,361,1377.25,14,53
2023-08-01,North-DC,APP-104,Apparel,341,True,417,335,1377.25,14,62
2023-09-01,North-DC,APP-104,Apparel,308,False,308,333,1377.25,14,59
2023-10-01,North-DC,APP-104,Apparel,270,False,270,298,1377.25,14,60
2023-11-01,North-DC,APP-104,Apparel,327,False,327,328,1377.25,14,32
2023-12-01,North-DC,APP-104,Apparel,330,False,330,310,1377.25,14,50
2024-01-01,North-DC,APP-104,Apparel,296,True,330,329,1377.25,14,56
2024-02-01,North-DC,APP-104,Apparel,389,False,389,383,1377.25,14,55
2024-03-01,North-DC,APP-104,Apparel,390,False,390,321,1377.25,14,53
2024-04-01,North-DC,APP-104,Apparel,374,False,374,348,1377.25,14,49
2024-05-01,North-DC,APP-104,Apparel,349,False,349,364,1377.25,14,63
2024-06-01,North-DC,APP-104,Apparel,309,True,313,304,1377.25,14,62
2024-07-01,North-DC,APP-104,Apparel,301,True,332,331,1377.25,14,59
2024-08-01,North-DC,APP-104,Apparel,301,False,301,322,1377.25,14,27
2024-09-01,North-DC,APP-104,Apparel,297,False,297,287,1377.25,14,43
2024-10-01,North-DC,APP-104,Apparel,256,True,256,322,1377.25,14,48
2024-11-01,North-DC,APP-104,Apparel,289,False,289,318,1377.25,14,35
2024-12-01,North-DC,APP-104,Apparel,293,True,300,322,1377.25,14,45
2023-01-01,North-DC,APP-105,Apparel,512,False,512,463,469.84,14,78
2023-02-01,North-DC,APP-105,Apparel,548,False,548,501,469.84,14,89
2023-03-01,North-DC,APP-105,Apparel,515,True,585,513,469.84,14,106
2023-04-01,North-DC,APP-105,Apparel,512,False,512,523,469.84,14,59
2023-05-01,North-DC,APP-105,Apparel,530,False,530,547,469.84,14,68
2023-06-01,North-DC,APP-105,Apparel,546,True,536,491,469.84,14,71
2023-07-01,North-DC,APP-105,Apparel,418,True,432,455,469.84,14,71
2023-08-01,North-DC,APP-105,Apparel,472,False,472,474,469.84,14,72
2023-09-01,North-DC,APP-105,Apparel,398,False,398,430,469.84,14,60
2023-10-01,North-DC,APP-105,Apparel,422,False,422,504,469.84,14,59
2023-11-01,North-DC,APP-105,Apparel,528,False,528,500,469.84,14,69
2023-12-01,North-DC,APP-105,Apparel,475,True,510,495,469.84,14,69
2024-01-01,North-DC,APP-105,Apparel,485,False,485,498,469.84,14,72
2024-02-01,North-DC,APP-105,Apparel,506,False,506,545,469.84,14,85
2024-03-01,North-DC,APP-105,Apparel,561,True,611,546,469.84,14,88
2024-04-01,North-DC,APP-105,Apparel,631,True,780,554,469.84,14,76
2024-05-01,North-DC,APP-105,Apparel,532,True,497,468,469.84,14,63
2024-06-01,North-DC,APP-105,Apparel,446,False,446,530,469.84,14,76
2024-07-01,North-DC,APP-105,Apparel,462,True,518,430,469.84,14,63
2024-08-01,North-DC,APP-105,Apparel,399,False,399,475,469.84,14,58
2024-09-01,North-DC,APP-105,Apparel,369,False,369,535,469.84,14,54
2024-10-01,North-DC,APP-105,Apparel,418,False,418,455,469.84,14,71
2024-11-01,North-DC,APP-105,Apparel,457,False,457,534,469.84,14,70
2024-12-01,North-DC,APP-105,Apparel,475,True,564,468,469.84,14,95
2023-01-01,North-DC,APP-106,Apparel,725,False,725,640,469.79,14,80
2023-02-01,North-DC,APP-106,Apparel,688,True,872,662,469.79,14,111
2023-03-01,North-DC,APP-106,Apparel,714,True,877,546,469.79,14,90
2023-04-01,North-DC,APP-106,Apparel,715,False,715,776,469.79,14,100
2023-05-01,North-DC,APP-106,Apparel,681,False,681,742,469.79,14,97
2023-06-01,North-DC,APP-106,Apparel,690,True,756,592,469.79,14,102
2023-07-01,North-DC,APP-106,Apparel,670,True,772,639,469.79,14,90
2023-08-01,North-DC,APP-106,Apparel,577,True,680,540,469.79,14,98
2023-09-01,North-DC,APP-106,Apparel,614,True,732,675,469.79,14,71
2023-10-01,North-DC,APP-106,Apparel,640,True,727,699,469.79,14,116
2023-11-01,North-DC,APP-106,Apparel,644,False,644,646,469.79,14,103
2023-12-01,North-DC,APP-106,Apparel,701,True,751,691,469.79,14,120
2024-01-01,North-DC,APP-106,Apparel,721,False,721,729,469.79,14,97
2024-02-01,North-DC,APP-106,Apparel,749,False,749,736,469.79,14,123
2024-03-01,North-DC,APP-106,Apparel,751,True,912,715,469.79,14,91
2024-04-01,North-DC,APP-106,Apparel,793,True,864,738,469.79,14,111
2024-05-01,North-DC,APP-106,Apparel,726,True,847,652,469.79,14,109
2024-06-01,North-DC,APP-106,Apparel,602,False,602,782,469.79,14,103
2024-07-01,North-DC,APP-106,Apparel,817,True,951,602,469.79,14,104
2024-08-01,North-DC,APP-106,Apparel,627,True,685,648,469.79,14,91
2024-09-01,North-DC,APP-106,Apparel,640,False,640,660,469.79,14,113
2024-10-01,North-DC,APP-106,Apparel,601,False,601,528,469.79,14,97
2024-11-01,North-DC,APP-106,Apparel,618,False,618,671,469.79,14,97
2024-12-01,North-DC,APP-106,Apparel,731,True,843,709,469.79,14,111
2023-01-01,North-DC,ELC-201,Electronics,558,False,558,509,269.07,10,77
2023-02-01,North-DC,ELC-201,Electronics,601,False,601,551,269.07,10,75
2023-03-01,North-DC,ELC-201,Electronics,626,False,626,553,269.07,10,79
2023-04-01,North-DC,ELC-201,Electronics,487,False,487,510,269.07,10,102
2023-05-01,North-DC,ELC-201,Electronics,579,True,584,506,269.07,10,63
2023-06-01,North-DC,ELC-201,Electronics,439,False,439,533,269.07,10,53
2023-07-01,North-DC,ELC-201,Electronics,464,False,464,534,269.07,10,68
2023-08-01,North-DC,ELC-201,Electronics,427,False,427,470,269.07,10,61
2023-09-01,North-DC,ELC-201,Electronics,427,False,427,415,269.07,10,45
2023-10-01,North-DC,ELC-201,Electronics,412,False,412,400,269.07,10,64
2023-11-01,North-DC,ELC-201,Electronics,433,True,429,469,269.07,10,52
2023-12-01,North-DC,ELC-201,Electronics,568,False,568,517,269.07,10,81
2024-01-01,North-DC,ELC-201,Electronics,568,False,568,540,269.07,10,69
2024-02-01,North-DC,ELC-201,Electronics,546,False,546,581,269.07,10,91
2024-03-01,North-DC,ELC-201,Electronics,563,True,555,527,269.07,10,86
2024-04-01,North-DC,ELC-201,Electronics,577,False,577,472,269.07,10,73
2024-05-01,North-DC,ELC-201,Electronics,482,False,482,452,269.07,10,89
2024-06-01,North-DC,ELC-201,Electronics,472,False,472,585,269.07,10,64
2024-07-01,North-DC,ELC-201,Electronics,425,False,425,477,269.07,10,68
2024-08-01,North-DC,ELC-201,Electronics,450,False,450,347,269.07,10,62
2024-09-01,North-DC,ELC-201,Electronics,386,True,425,478,269.07,10,66
2024-10-01,North-DC,ELC-201,Electronics,379,False,379,437,269.07,10,72
2024-11-01,North-DC,ELC-201,Electronics,433,False,433,410,269.07,10,53
2024-12-01,North-DC,ELC-201,Electronics,519,False,519,468,269.07,10,73
2023-01-01,North-DC,ELC-202,Electronics,1161,False,1161,1055,1925.66,21,170
2023-02-01,North-DC,ELC-202,Electronics,1191,False,1191,1190,1925.66,21,162
2023-03-01,North-DC,ELC-202,Electronics,1169,False,1169,1243,1925.66,21,178
2023-04-01,North-DC,ELC-202,Electronics,1174,True,1174,1251,1925.66,21,162
2023-05-01,North-DC,ELC-202,Electronics,1023,False,1023,1172,1925.66,21,180
2023-06-01,North-DC,ELC-202,Electronics,1004,False,1004,1021,1925.66,21,150
2023-07-01,North-DC,ELC-202,Electronics,1032,False,1032,1065,1925.66,21,148
2023-08-01,North-DC,ELC-202,Electronics,987,False,987,917,1925.66,21,149
2023-09-01,North-DC,ELC-202,Electronics,855,False,855,831,1925.66,21,109
2023-10-01,North-DC,ELC-202,Electronics,1022,False,1022,875,1925.66,21,129
2023-11-01,North-DC,ELC-202,Electronics,953,True,933,1054,1925.66,21,136
2023-12-01,North-DC,ELC-202,Electronics,1055,False,1055,977,1925.66,21,161
2024-01-01,North-DC,ELC-202,Electronics,1202,False,1202,1018,1925.66,21,181
2024-02-01,North-DC,ELC-202,Electronics,1196,False,1196,1175,1925.66,21,187
2024-03-01,North-DC,ELC-202,Electronics,1384,False,1384,1368,1925.66,21,177
2024-04-01,North-DC,ELC-202,Electronics,1146,False,1146,1142,1925.66,21,175
2024-05-01,North-DC,ELC-202,Electronics,1136,False,1136,1095,1925.66,21,187
2024-06-01,North-DC,ELC-202,Electronics,1004,False,1004,1014,1925.66,21,166
2024-07-01,North-DC,ELC-202,Electronics,943,False,943,929,1925.66,21,165
2024-08-01,North-DC,ELC-202,Electronics,899,False,899,1115,1925.66,21,138
2024-09-01,North-DC,ELC-202,Electronics,1007,False,1007,977,1925.66,21,137
2024-10-01,North-DC,ELC-202,Electronics,846,False,846,875,1925.66,21,135
2024-11-01,North-DC,ELC-202,Electronics,1011,True,990,926,1925.66,21,154
2024-12-01,North-DC,ELC-202,Electronics,1197,False,1197,1091,1925.66,21,176
2023-01-01,North-DC,ELC-203,Electronics,685,False,685,677,1382.29,21,95
2023-02-01,North-DC,ELC-203,Electronics,711,False,711,752,1382.29,21,111
2023-03-01,North-DC,ELC-203,Electronics,762,False,762,738,1382.29,21,117
2023-04-01,North-DC,ELC-203,Electronics,721,False,721,649,1382.29,21,102
2023-05-01,North-DC,ELC-203,Electronics,731,True,677,677,1382.29,21,104
2023-06-01,North-DC,ELC-203,Electronics,617,True,623,654,1382.29,21,96
2023-07-01,North-DC,ELC-203,Electronics,526,False,526,593,1382.29,21,96
2023-08-01,North-DC,ELC-203,Electronics,573,True,574,647,1382.29,21,100
2023-09-01,North-DC,ELC-203,Electronics,568,False,568,550,1382.29,21,85
2023-10-01,North-DC,ELC-203,Electronics,561,False,561,593,1382.29,21,81
2023-11-01,North-DC,ELC-203,Electronics,569,True,574,611,1382.29,21,92
2023-12-01,North-DC,ELC-203,Electronics,620,True,674,671,1382.29,21,96
2024-01-01,North-DC,ELC-203,Electronics,796,True,710,653,1382.29,21,102
2024-02-01,North-DC,ELC-203,Electronics,782,True,761,772,1382.29,21,103
2024-03-01,North-DC,ELC-203,Electronics,791,False,791,644,1382.29,21,109
2024-04-01,North-DC,ELC-203,Electronics,724,False,724,647,1382.29,21,116
2024-05-01,North-DC,ELC-203,Electronics,665,False,665,597,1382.29,21,115
2024-06-01,North-DC,ELC-203,Electronics,628,True,629,652,1382.29,21,87
2024-07-01,North-DC,ELC-203,Electronics,623,False,623,718,1382.29,21,105
2024-08-01,North-DC,ELC-203,Electronics,589,False,589,617,1382.29,21,96
2024-09-01,North-DC,ELC-203,Electronics,623,True,639,619,1382.29,21,101
2024-10-01,North-DC,ELC-203,Electronics,557,True,580,636,1382.29,21,84
2024-11-01,North-DC,ELC-203,Electronics,638,True,602,755,1382.29,21,80
2024-12-01,North-DC,ELC-203,Electronics,650,False,650,723,1382.29,21,113
2023-01-01,North-DC,ELC-204,Electronics,314,True,331,408,1601.55,21,53
2023-02-01,North-DC,ELC-204,Electronics,336,True,369,305,1601.55,21,50
2023-03-01,North-DC,ELC-204,Electronics,388,True,367,357,1601.55,21,31
2023-04-01,North-DC,ELC-204,Electronics,315,True,321,324,1601.55,21,43
2023-05-01,North-DC,ELC-204,Electronics,291,False,291,324,1601.55,21,42
2023-06-01,North-DC,ELC-204,Electronics,332,True,326,316,1601.55,21,63
2023-07-01,North-DC,ELC-204,Electronics,288,False,288,289,1601.55,21,49
2023-08-01,North-DC,ELC-204,Electronics,253,True,260,293,1601.55,21,49
2023-09-01,North-DC,ELC-204,Electronics,285,False,285,253,1601.55,21,56
2023-10-01,North-DC,ELC-204,Electronics,247,False,247,265,1601.55,21,34
2023-11-01,North-DC,ELC-204,Electronics,259,False,259,242,1601.55,21,40
2023-12-01,North-DC,ELC-204,Electronics,324,True,309,346,1601.55,21,31
2024-01-01,North-DC,ELC-204,Electronics,287,True,296,316,1601.55,21,42
2024-02-01,North-DC,ELC-204,Electronics,319,False,319,258,1601.55,21,53
2024-03-01,North-DC,ELC-204,Electronics,289,False,289,253,1601.55,21,49
2024-04-01,North-DC,ELC-204,Electronics,346,False,346,336,1601.55,21,41
2024-05-01,North-DC,ELC-204,Electronics,277,False,277,242,1601.55,21,58
2024-06-01,North-DC,ELC-204,Electronics,257,False,257,308,1601.55,21,45
2024-07-01,North-DC,ELC-204,Electronics,245,False,245,259,1601.55,21,43
2024-08-01,North-DC,ELC-204,Electronics,251,False,251,228,1601.55,21,20
2024-09-01,North-DC,ELC-204,Electronics,236,False,236,203,1601.55,21,22
2024-10-01,North-DC,ELC-204,Electronics,223,False,223,259,1601.55,21,38
2024-11-01,North-DC,ELC-204,Electronics,237,True,240,204,1601.55,21,23
2024-12-01,North-DC,ELC-204,Electronics,246,False,246,282,1601.55,21,45
2023-01-01,North-DC,ELC-205,Electronics,946,False,946,836,192.2,21,166
2023-02-01,North-DC,ELC-205,Electronics,1099,False,1099,1032,192.2,21,147
2023-03-01,North-DC,ELC-205,Electronics,998,False,998,984,192.2,21,150
2023-04-01,North-DC,ELC-205,Electronics,910,False,910,980,192.2,21,150
2023-05-01,North-DC,ELC-205,Electronics,1036,False,1036,772,192.2,21,148
2023-06-01,North-DC,ELC-205,Electronics,1147,False,1147,734,192.2,21,150
2023-07-01,North-DC,ELC-205,Electronics,936,False,936,799,192.2,21,123
2023-08-01,North-DC,ELC-205,Electronics,820,False,820,889,192.2,21,128
2023-09-01,North-DC,ELC-205,Electronics,913,False,913,872,192.2,21,133
2023-10-01,North-DC,ELC-205,Electronics,1000,False,1000,859,192.2,21,131
2023-11-01,North-DC,ELC-205,Electronics,964,True,967,979,192.2,21,122
2023-12-01,North-DC,ELC-205,Electronics,863,False,863,1070,192.2,21,141
2024-01-01,North-DC,ELC-205,Electronics,978,False,978,947,192.2,21,146
2024-02-01,North-DC,ELC-205,Electronics,1022,False,1022,1118,192.2,21,150
2024-03-01,North-DC,ELC-205,Electronics,889,False,889,1103,192.2,21,155
2024-04-01,North-DC,ELC-205,Electronics,1075,True,1015,1036,192.2,21,144
2024-05-01,North-DC,ELC-205,Electronics,864,False,864,949,192.2,21,128
2024-06-01,North-DC,ELC-205,Electronics,1024,False,1024,830,192.2,21,130
2024-07-01,North-DC,ELC-205,Electronics,989,False,989,758,192.2,21,141
2024-08-01,North-DC,ELC-205,Electronics,800,False,800,656,192.2,21,102
2024-09-01,North-DC,ELC-205,Electronics,743,False,743,1027,192.2,21,109
2024-10-01,North-DC,ELC-205,Electronics,893,False,893,1040,192.2,21,133
2024-11-01,North-DC,ELC-205,Electronics,921,True,904,942,192.2,21,128
2024-12-01,North-DC,ELC-205,Electronics,899,True,866,952,192.2,21,125
2023-01-01,North-DC,ELC-206,Electronics,1202,True,1170,954,2138.32,14,151
2023-02-01,North-DC,ELC-206,Electronics,1159,True,1092,1085,2138.32,14,185
2023-03-01,North-DC,ELC-206,Electronics,1140,True,1090,1150,2138.32,14,169
2023-04-01,North-DC,ELC-206,Electronics,1134,True,1185,1175,2138.32,14,172
2023-05-01,North-DC,ELC-206,Electronics,1184,False,1184,1095,2138.32,14,166
2023-06-01,North-DC,ELC-206,Electronics,977,False,977,960,2138.32,14,166
2023-07-01,North-DC,ELC-206,Electronics,963,True,1003,955,2138.32,14,140
2023-08-01,North-DC,ELC-206,Electronics,928,False,928,1035,2138.32,14,155
2023-09-01,North-DC,ELC-206,Electronics,880,False,880,961,2138.32,14,129
2023-10-01,North-DC,ELC-206,Electronics,1002,True,994,983,2138.32,14,155
2023-11-01,North-DC,ELC-206,Electronics,870,False,870,1153,2138.32,14,151
2023-12-01,North-DC,ELC-206,Electronics,1258,False,1258,1034,2138.32,14,161
2024-01-01,North-DC,ELC-206,Electronics,969,False,969,1010,2138.32,14,145
2024-02-01,North-DC,ELC-206,Electronics,1280,True,1156,1197,2138.32,14,163
2024-03-01,North-DC,ELC-206,Electronics,1129,False,1129,1080,2138.32,14,174
2024-04-01,North-DC,ELC-206,Electronics,1166,False,1166,959,2138.32,14,179
2024-05-01,North-DC,ELC-206,Electronics,993,False,993,973,2138.32,14,182
2024-06-01,North-DC,ELC-206,Electronics,995,False,995,1098,2138.32,14,158
2024-07-01,North-DC,ELC-206,Electronics,1057,False,1057,907,2138.32,14,150
2024-08-01,North-DC,ELC-206,Electronics,915,False,915,884,2138.32,14,158
2024-09-01,North-DC,ELC-206,Electronics,853,True,953,910,2138.32,14,146
2024-10-01,North-DC,ELC-206,Electronics,1007,True,971,1202,2138.32,14,150
2024-11-01,North-DC,ELC-206,Electronics,1061,False,1061,1065,2138.32,14,144
2024-12-01,North-DC,ELC-206,Electronics,909,False,909,924,2138.32,14,165
2023-01-01,North-DC,PER-301,Perishable,797,False,797,747,1856.51,10,108
2023-02-01,North-DC,PER-301,Perishable,755,False,755,819,1856.51,10,129
2023-03-01,North-DC,PER-301,Perishable,817,False,817,818,1856.51,10,114
2023-04-01,North-DC,PER-301,Perishable,712,False,712,769,1856.51,10,115
2023-05-01,North-DC,PER-301,Perishable,756,False,756,759,1856.51,10,111
2023-06-01,North-DC,PER-301,Perishable,855,False,855,729,1856.51,10,104
2023-07-01,North-DC,PER-301,Perishable,602,False,602,673,1856.51,10,97
2023-08-01,North-DC,PER-301,Perishable,668,False,668,578,1856.51,10,97
2023-09-01,North-DC,PER-301,Perishable,532,False,532,636,1856.51,10,98
2023-10-01,North-DC,PER-301,Perishable,675,False,675,595,1856.51,10,84
2023-11-01,North-DC,PER-301,Perishable,763,True,736,667,1856.51,10,98
2023-12-01,North-DC,PER-301,Perishable,688,True,668,702,1856.51,10,111
2024-01-01,North-DC,PER-301,Perishable,776,False,776,789,1856.51,10,101
2024-02-01,North-DC,PER-301,Perishable,844,False,844,885,1856.51,10,145
2024-03-01,North-DC,PER-301,Perishable,811,False,811,713,1856.51,10,136
2024-04-01,North-DC,PER-301,Perishable,873,True,917,790,1856.51,10,117
2024-05-01,North-DC,PER-301,Perishable,751,False,751,582,1856.51,10,122
2024-06-01,North-DC,PER-301,Perishable,742,False,742,669,1856.51,10,123
2024-07-01,North-DC,PER-301,Perishable,700,True,654,690,1856.51,10,117
2024-08-01,North-DC,PER-301,Perishable,547,False,547,613,1856.51,10,96
2024-09-01,North-DC,PER-301,Perishable,650,False,650,758,1856.51,10,111
2024-10-01,North-DC,PER-301,Perishable,589,False,589,600,1856.51,10,97
2024-11-01,North-DC,PER-301,Perishable,676,False,676,864,1856.51,10,109
2024-12-01,North-DC,PER-301,Perishable,719,False,719,818,1856.51,10,115
2023-01-01,North-DC,PER-302,Perishable,466,True,454,452,585.3,10,71
2023-02-01,North-DC,PER-302,Perishable,449,True,472,421,585.3,10,85
2023-03-01,North-DC,PER-302,Perishable,480,True,522,475,585.3,10,82
2023-04-01,North-DC,PER-302,Perishable,464,False,464,543,585.3,10,62
2023-05-01,North-DC,PER-302,Perishable,488,False,488,453,585.3,10,62
2023-06-01,North-DC,PER-302,Perishable,532,True,578,474,585.3,10,86
2023-07-01,North-DC,PER-302,Perishable,450,False,450,461,585.3,10,61
2023-08-01,North-DC,PER-302,Perishable,378,False,378,378,585.3,10,42
2023-09-01,North-DC,PER-302,Perishable,414,True,408,433,585.3,10,59
2023-10-01,North-DC,PER-302,Perishable,448,True,456,433,585.3,10,66
2023-11-01,North-DC,PER-302,Perishable,415,False,415,481,585.3,10,71
2023-12-01,North-DC,PER-302,Perishable,500,True,539,510,585.3,10,75
2024-01-01,North-DC,PER-302,Perishable,503,False,503,508,585.3,10,75
2024-02-01,North-DC,PER-302,Perishable,555,False,555,502,585.3,10,84
2024-03-01,North-DC,PER-302,Perishable,641,False,641,580,585.3,10,92
2024-04-01,North-DC,PER-302,Perishable,462,False,462,568,585.3,10,84
2024-05-01,North-DC,PER-302,Perishable,495,False,495,568,585.3,10,83
2024-06-01,North-DC,PER-302,Perishable,463,False,463,487,585.3,10,77
2024-07-01,North-DC,PER-302,Perishable,500,True,548,407,585.3,10,83
2024-08-01,North-DC,PER-302,Perishable,452,False,452,429,585.3,10,69
2024-09-01,North-DC,PER-302,Perishable,413,True,436,387,585.3,10,64
2024-10-01,North-DC,PER-302,Perishable,449,False,449,544,585.3,10,53
2024-11-01,North-DC,PER-302,Perishable,553,True,528,559,585.3,10,58
2024-12-01,North-DC,PER-302,Perishable,496,False,496,584,585.3,10,103
2023-01-01,North-DC,PER-303,Perishable,419,False,419,461,522.74,14,51
2023-02-01,North-DC,PER-303,Perishable,402,True,439,436,522.74,14,59
2023-03-01,North-DC,PER-303,Perishable,434,False,434,392,522.74,14,71
2023-04-01,North-DC,PER-303,Perishable,433,True,412,294,522.74,14,42
2023-05-01,North-DC,PER-303,Perishable,387,False,387,388,522.74,14,61
2023-06-01,North-DC,PER-303,Perishable,424,False,424,391,522.74,14,45
2023-07-01,North-DC,PER-303,Perishable,321,False,321,340,522.74,14,64
2023-08-01,North-DC,PER-303,Perishable,299,False,299,268,522.74,14,53
2023-09-01,North-DC,PER-303,Perishable,282,True,305,333,522.74,14,47
2023-10-01,North-DC,PER-303,Perishable,348,False,348,324,522.74,14,39
2023-11-01,North-DC,PER-303,Perishable,356,False,356,254,522.74,14,71
2023-12-01,North-DC,PER-303,Perishable,407,True,380,417,522.74,14,60
2024-01-01,North-DC,PER-303,Perishable,449,False,449,440,522.74,14,52
2024-02-01,North-DC,PER-303,Perishable,441,True,434,391,522.74,14,73
2024-03-01,North-DC,PER-303,Perishable,490,True,481,402,522.74,14,60
2024-04-01,North-DC,PER-303,Perishable,437,False,437,433,522.74,14,54
2024-05-01,North-DC,PER-303,Perishable,409,True,416,449,522.74,14,64
